#examples trained on	cross entropy
32	0.6650164127349854
352	0.6652767412711539
672	0.645630558083054
992	0.6296625359592634
1312	0.6129486598535336
1632	0.5738913230466859
1952	0.5465682822017686
2272	0.5414984584920938
2592	0.49952141229478436
2912	0.47414528058336247
3232	0.4683542500307446
3552	0.45263994907923005
3872	0.40629316135352556
4192	0.38193521191547053
4512	0.3680444296917294
4832	0.3442813106982475
5152	0.32789620293187133
5472	0.30891099470252315
5792	0.30859012938212543
6112	0.28345306280349297
6432	0.27987497373780446
6752	0.2703260104265472
7072	0.25901536598180125
7392	0.24900080617666073
7712	0.24490977928146354
8032	0.2587938633915696
8352	0.2513695070895796
8672	0.2634464211621443
8992	0.2553058822354344
9312	0.2377385312503671
9632	0.2178155736744834
9952	0.20859152101451478
10272	0.2232780488879536
10592	0.22288422865076535
10912	0.21786067873337583
11232	0.20078991435795746
11552	0.2056070689582563
11872	0.19512349821856215
12192	0.2109707750555055
12512	0.2031845813271468
12832	0.19535735220901596
13152	0.1734102179401367
13472	0.15963308412670815
13792	0.15025890540113374
14112	0.13909603320368902
14432	0.15261778335379267
14752	0.15777632786614948
15072	0.1541887830228012
15392	0.15415592940500836
15712	0.15170546001899085
16032	0.1405289353891335
16352	0.1203384121453688
16672	0.1208314353720285
16992	0.10631270893687224
17312	0.10216413094481369
17632	0.08601914903214208
17952	0.07392486970004634
18272	0.07448163401162039
18592	0.06433363635885798
18912	0.06155070525316544
19232	0.05305530107440875
19552	0.056370409344581485
19872	0.05011434885208473
20192	0.04704574757407269
20512	0.04490098922536239
20832	0.06998069353653193
21152	0.13611689869537283
21472	0.14004922034596265
21792	0.14749402011729792
22112	0.12346076724466828
22432	0.11408342482199779
22752	0.10216349933912926
23072	0.08761583751363815
23392	0.07665839565897331
23712	0.06800663948631255
24032	0.059018358791569886
24352	0.04605664320531774
24672	0.0420607506026824
24992	0.050614779034082444
25312	0.051890221351302876
25632	0.0552896742389112
25952	0.04730190260924386
26272	0.04907276340009945
26592	0.048570978062771074
26912	0.04628837169380918
27232	0.04190824034453586
27552	0.04689688763676447
27872	0.05342423727778883
28192	0.04876134494347611
28512	0.047361386759578045
28832	0.05290962364841638
29152	0.059902011711581986
29472	0.05730711363003302
29792	0.07099513868241204
30112	0.06338081057794305
30432	0.04989311392350012
30752	0.04177532284152858
31072	0.033076827885524795
31392	0.033352262749184944
31712	0.035065755712996874
32032	0.02939772062364366
32352	0.030665977921811517
32672	0.030610722992262845
32992	0.03790757888131859
33312	0.031165535608521623
33632	0.030001693549100195
33952	0.02966484397026284
34272	0.021299439694798365
34592	0.023052508615229627
34912	0.02310034776219539
35232	0.022344600314024177
35552	0.01756386928391103
35872	0.0251615436433759
36192	0.036453613518833146
36512	0.025753863113104538
36832	0.020055855714138388
37152	0.035165872139506164
37472	0.0464120620035343
37792	0.05659392721422887
38112	0.049468598702432934
38432	0.045392131872984895
38752	0.03996032888261354
39072	0.02965701241797753
39392	0.024899717451439266
39712	0.018017528042283966
40032	0.013155406495805317
40352	0.010708388746315486
40672	0.010541675288980371
40992	0.012786047001169934
41312	0.0087459674088192
41632	0.0075658627666165155
41952	0.006020321784201687
42272	0.004382202244109689
42592	0.004468516999355265
42912	0.00503164969356974
43232	0.0034739506262971413
43552	0.00401383903386271
43872	0.003297489875059463
44192	0.0034291846156994698
44512	0.002338870616686443
44832	0.004492083452334554
45152	0.009972445204011832
45472	0.01197956453777726
45792	0.008677156966407437
46112	0.006221390551243484
46432	0.005175555889912024
46752	0.004043012453401676
47072	0.002915423823517096
47392	0.002917505982567522
47712	0.0019324537134579442
48032	0.0012706932981099625
