#examples trained on	cross entropy
32	11.841523170471191
352	14.175657070409287
672	8.751586976546115
992	5.507774697183033
1312	3.5490293796184917
1632	2.3617541902992905
1952	1.6438518571362712
2272	1.2234804610526677
2592	0.9635883593170635
2912	0.7905847280697168
3232	0.7136930436267355
3552	0.6610580184087077
3872	0.6063805296367815
4192	0.5751297009090216
4512	0.5778133707251537
4832	0.5552151462409298
5152	0.5330668905451819
5472	0.5375160920634948
5792	0.5390491657059467
6112	0.5159612976344256
6432	0.5060717189748305
6752	0.5177828462431049
7072	0.5235272298178905
7392	0.5158829974664846
7712	0.5110797298493864
8032	0.5180117831668779
8352	0.4930535885395819
8672	0.476111080224909
8992	0.48204577258525594
9312	0.4787394392158515
9632	0.5354066109461273
9952	0.5663979403564042
10272	0.6008790094016283
10592	0.5813097601618963
10912	0.5597607551360201
11232	0.5611985045677004
11552	0.5525566825697925
11872	0.5387824284213397
12192	0.5405879107225087
12512	0.541966216362628
12832	0.520660318457247
13152	0.5032096638857227
13472	0.5070126131701578
13792	0.5359759464407571
14112	0.547243673639636
14432	0.56695653891097
14752	0.5717557201996804
15072	0.5656672910026274
15392	0.5621578543895817
15712	0.5859422682944453
16032	0.5775501092430882
16352	0.5795733155145448
16672	0.5821991536288934
16992	0.568219199452275
17312	0.5492487375547428
17632	0.5206622172037852
17952	0.5382794793815647
18272	0.531596649543543
18592	0.5129513858222831
18912	0.518040358549062
19232	0.5258760237211113
19552	0.5238276428796904
19872	0.49792754940381473
20192	0.5076242401168631
20512	0.4956173369956341
20832	0.4902876494517412
21152	0.508631777071771
21472	0.5061886578245394
21792	0.49090741459299747
22112	0.48990596015342985
22432	0.5106055274651384
22752	0.5044161622937631
23072	0.49034639632225985
23392	0.47721731150692936
23712	0.4562607236990126
24032	0.45317296523607875
24352	0.4363124706242931
24672	0.43553210908720413
24992	0.4168439638144776
25312	0.41285281750285363
25632	0.4065280574528217
25952	0.4601358648499467
26272	0.474399103232899
26592	0.46768103164857594
26912	0.5014018855479847
27232	0.49146694663146334
27552	0.4928629331007226
27872	0.5153959772964516
28192	0.5253602711259532
28512	0.5201825584160359
28832	0.49581991251572977
29152	0.48922829330173295
29472	0.47019356186081196
29792	0.4637610638256663
30112	0.5054166363156785
30432	0.5428380073205333
30752	0.5477622257354184
31072	0.5364427125844267
31392	0.5406886342089068
31712	0.525341703918968
32032	0.5089848428066163
32352	0.49847437928035915
32672	0.5038418216399522
32992	0.48283997319755556
33312	0.4491294311648454
33632	0.44761450473051884
33952	0.46191225347934395
34272	0.471167267616757
34592	0.452421783820323
34912	0.42630690284021017
35232	0.4578303861960759
35552	0.44148994379654133
35872	0.4179051875422793
36192	0.39537980204072065
36512	0.39501311272554307
36832	0.3825728268009475
37152	0.3705654456632269
37472	0.3862028291357786
37792	0.383999994074194
38112	0.37203340619842523
38432	0.37117285593107624
38752	0.35954233983391387
39072	0.36189580526185605
39392	0.3563435647453876
39712	0.3586125316581183
40032	0.3996410122106926
40352	0.44999812457193356
40672	0.47400662674285565
40992	0.4761177168540899
41312	0.5100562797089427
41632	0.5538191670222752
41952	0.5663172420207866
42272	0.5697449963625485
42592	0.568166809291166
42912	0.5571452846041431
43232	0.537108853800105
43552	0.5282918181580879
43872	0.5481959909400248
44192	0.5385234031883014
44512	0.5395634825871705
44832	0.5434933804514792
45152	0.532779945766917
45472	0.5143947300137981
45792	0.5005704715211975
46112	0.5100016792078911
46432	0.5095161573915243
46752	0.49922550482154154
47072	0.4911488426851978
47392	0.4961610630946444
47712	0.4957052475831839
48032	0.5115616899034896
48352	0.527588456382429
48672	0.5169157641185685
48992	0.49944332614242243
49312	0.49163130801740146
49632	0.4662864120801147
49952	0.4303532382332633
50272	0.4908686710833612
50592	0.5493298349398524
50912	0.5757017437822974
51232	0.5888692801279685
51552	0.597034245205739
